year,category,position,name,lastname,firstname,gender,age,bib,state_province_country,city,state_province,country,start,gateway_enter,gateway_exit,melgeorges_enter,melgeorges_exit,myrtle_lake_enter,myrtle_lake_exit,crescent_enter,crescent_exit,ski_pulk_enter,ski_pulk_exit,finish_time,overall_duration,comments,unsupported
2018,Bike,2,"Doom, Ben",Doom,Ben,,,28,MN USA,,,,1/29 07:02,1/29 09:58,1/29 09:58,1/29 13:38,1/29 13:51,,,,,1/29 18:23,1/29 18:27,1/29 21:14,14:12:00,,
2020,Bike,3,"Doom, Ben",Doom,Ben,,,33,MN USA,,,,1/27 07:00,1/27 10:12,1/27 10:12,1/27 14:07,1/27 14:14,,,,,1/27 19:03,1/27 19:03,1/27 21:49,14:49:00,,
2022,Bike,3,"Doom, Ben",Doom,Ben,,,32,MN USA,,,,1/31 07:00,1/31 09:59,1/31 09:59,1/31 14:26,1/31 14:32,,,,,1/31 19:10,1/31 19:14,1/31 22:15,15:15:00,,
2013,Bike,4,BEN DOOM,Doom,Ben,,,4,MN USA,,,,1/28 07:00,1/28 10:35,1/28 10:35,1/28 14:46,1/28 14:52,,,,,1/28 20:01,1/28 20:05,1/28 22:46,15:46:00,,
2012,Bike,5,BEN DOOM,Doom,Ben,,,3,MN USA,,,,1/30 07:00,1/30 10:23,1/30 10:23,1/30 14:53,1/30 15:01,,,,,1/30 20:32,1/30 20:37,1/30 23:49,16:49:00,,
2011,Bike,5,BEN DOOM,Doom,Ben,,,7,,,,,1/31 07:00,1/31 11:03,1/31 11:06,1/31 15:38,1/31 16:21,,,,,1/31 22:35,1/31 23:01,2/1 01:57,18:57:00,Arrowhead Bike Rookie Of Year,
2016,Bike,4,"Doom, Ben",Doom,Ben,,,30,MN USA,,,,1/25 07:00,1/25 10:35,1/25 10:35,1/25 15:37,1/25 15:46,,,,,1/25 22:19,1/25 22:24,1/26 02:12,19:12:00,,
2014,Bike,999,BEN DOOM,Doom,Ben,,,12,MN USA,,,,1/27 07:00,1/27 11:46,,,,,,,,,,,,Dropped at Gateway,
2023,Bike,1,"Doom, Ben",Doom,Ben,,,31,USA/MN,,,,1/30/2023 7:00,1/30/2023 10:35,1/30/2023 10:36,1/30/2023 14:28,1/30/2023 14:35,,,,,1/30/2023 17:32,1/30/2023 17:33,1/30/2023 22:20,,1st male biker,
2015,Bike,75,"Downham, John",Downham,John,,,27,MN USA,,,,1/26 07:00,1/26 14:56,1/26 15:37,1/27 05:24,1/27 08:35,,,,,1/28 06:49,1/28 07:09,1/28 12:51,53:51:00,,
2017,Ski,0,"Downham, LynnAnne",Downham,Lynnanne,,,182,,,,,1/30 07:02,1/30 15:21,1/30 17:02,1/31 10:01,,,,,,,,,,Drop at MelGeorges,
2017,Run,0,"Drake, Wendy",Drake,Wendy,,,28,CO USA,,,,1/30 07:04,1/30 18:27,1/30 18:27,,,,,,,,,,,Drop at Sheep Ranch Rd,TRUE
2016,Run,999,"Drake, Wendy",Drake,Wendy,,,31,CO USA,,,,1/25 07:04,1/25 19:54,1/25 20:49,,,,,,,,,,,Dropped at SRR,
2015,Bike,24,"Dube, Cameron",Dube,Cameron,,,28,ONT Canada,,,,1/26 07:00,1/26 11:01,1/26 11:19,1/26 15:48,1/26 17:02,,,,,1/26 23:10,1/26 23:34,1/27 02:12,19:12:00,,
2014,Bike,999,Cameron Dube,Dube,Cameron,,,23,Ontario Canada,,,,1/27 07:00,1/27 12:43,1/27 15:25,1/27 22:53,,,,,,,,,,Dropped at MelGeorge,
2020,Run,23,"Dumitrescu, Bogie",Dumitrescu,Bogie,,,35,CO USA,,,,1/27 07:04,1/27 17:40,1/27 18:20,1/28 07:03,1/28 07:34,,,,,1/28 21:57,1/28 22:08,1/29 08:24,49:20:00,,
2014,Run,999,Bogie Dumitrescu,Dumitrescu,Bogie,,,17,CO USA,,,,1/27 07:04,,,,,,,,,,,,,Drop before Gateway,
2016,Run,999,"Dumitrescu, Bogie",Dumitrescu,Bogie,,,32,CO USA,,,,1/25 07:04,1/25 19:30,1/25 19:51,,,,,,,,,,,Dropped at SRR,
2019,Run,999,"Dumitrescu, Bogie",Dumitrescu,Bogie,,,26,CO USA,,,,1/28 07:04,1/28 19:55,,,,,,,,,,,,,
2017,Run,8,"Durand, Kyle",Durand,Kyle,,,30,WA USA,,,,1/30 07:04,1/30 15:35,1/30 16:50,1/31 03:07,1/31 06:15,,,,,1/31 19:32,1/31 21:00,2/1 04:43,45:39:00,,
2013,Bike,14,KEVIN EASLEY,Easley,Kevin,,,58,AK USA,,,,1/28 07:00,1/28 11:04,1/28 11:08,1/28 16:18,1/28 16:34,,,,,1/29 00:05,1/29 00:15,1/29 04:48,21:48:00,,
2015,Bike,21,"Eastlund, Alan",Eastlund,Alan,,,30,MN USA,,,,1/26 07:00,1/26 10:31,1/26 10:31,1/26 15:21,1/26 16:07,,,,,1/26 22:22,1/26 22:49,1/27 02:02,19:02:00,,
2016,Bike,11,"Eastlund, Alan",Eastlund,Alan,,,33,MN USA,,,,1/25 07:00,1/25 11:20,1/25 11:43,1/25 17:39,1/25 18:28,,,,,1/26 02:14,1/26 02:45,1/26 06:58,23:58:00,,
2014,Bike,11,Alan Eastlund,Eastlund,Alan,,,5,MN USA,,,,1/27 07:00,1/27 12:11,1/27 13:40,1/27 19:54,1/27 22:25,,,,,1/28 07:56,1/28 09:30,1/28 13:59,30:59:00,,
2019,Bike,999,"Eastlund, Alan",Eastlund,Alan,,,29,MN USA,,,,1/28 07:00,1/28 10:30,1/28 10:40,1/28 15:00,1/28 15:40,,,,,,,,,,
2013,Run,999,JEREMY EBEL,Ebel,Jeremy,,,120,CO USA,,,,1/28 07:04,1/28 17:20,1/28 18:08,1/29 12:00,,,,,,,,,,Dropped at MelGeorge,
2017,Bike,45,"Eckert, Jeff",Eckert,Jeff,,,31,IN USA,,,,1/30 07:00,1/30 10:35,1/30 10:59,1/30 15:42,1/30 16:14,,,,,1/30 23:59,1/31 00:35,1/31 06:08,23:08:00,,
2015,Bike,43,"Eckert, Jeff",Eckert,Jeff,,,31,IN USA,,,,1/26 07:00,1/26 11:53,1/26 12:12,1/26 19:11,1/26 21:50,,,,,1/27 07:12,1/27 07:51,1/27 11:55,28:55:00,,
2016,Bike,34,"Eckert, Jeff",Eckert,Jeff,,,34,IN USA,,,,1/25 07:00,1/25 12:01,1/25 12:51,1/25 22:00,1/25 22:57,,,,,1/26 11:29,1/26 11:55,1/26 17:03,34:03:00,,
2023,Bike,999,"Edmonds, Will",Edmonds,Will,,,32,USA/MN,,,,1/30/2023 7:00,1/30/2023 12:40,1/30/2023 13:18,1/30/2023 19:27,,,,,,,,,,,
2023,Bike,999,"Egge, Fred",Egge,Fred,,,33,USA/MI,,,,1/30/2023 7:00,1/30/2023 13:12,1/30/2023 13:58,1/30/2023 20:45,1/31/2023 1:32,,,,,1/31/2023 12:15,,,,Drop at Embark,
2022,Bike,29,"Ehlers, Aaron",Ehlers,Aaron,,,34,MN USA,,,,1/31 07:00,1/31 11:30,1/31 11:46,1/31 17:56,1/31 18:30,,,,,2/1 07:20,2/1 07:43,2/1 11:06,28:06:00,,
2018,Bike,39,"Ehlman, Thomas",Ehlman,Thomas,,,31,MN USA,,,,1/29 07:02,1/29 11:13,1/29 12:38,1/29 17:51,1/30 06:24,,,,,1/30 11:51,1/30 13:23,1/30 16:53,33:51:00,,
2016,Bike,50,"Ehlman, Thomas",Ehlman,Thomas,,,35,MN USA,,,,1/25 07:00,1/25 12:20,1/25 13:13,1/25 22:38,1/26 01:05,,,,,1/26 15:14,1/26 17:42,1/26 23:31,40:31:00,,
2018,Run,13,"Eichman, Alex Elizabeth",Eichman,Alex Elizabeth,,,32,MN USA,,,,1/29 07:06,1/29 16:54,1/29 17:35,1/30 05:06,1/30 06:32,,,,,1/30 19:48,1/30 20:22,1/31 06:42,47:36:00,,
2013,Bike,17,TIM EK,Ek,Tim,,,91,MN USA,,,,1/28 07:00,1/28 11:38,1/28 11:43,1/28 16:46,1/28 17:04,,,,,1/29 00:54,1/29 01:16,1/29 07:21,24:21:00,,
2020,Run,22,"Elizabeth, Alex",Elizabeth,Alex,,,36,MN USA,,,,1/27 07:04,1/27 17:35,1/27 17:35,1/28 06:24,1/28 06:24,,,,,1/28 22:26,1/28 22:31,1/29 08:18,49:14:00,,TRUE
2019,Run,999,"Elizabeth, Alex",Elizabeth,Alex,,,31,MN USA,,,,1/28 07:04,1/28 17:30,1/28 18:20,1/29 06:05,,,,,,,,,,,
2019,Bike,999,"Elmer, Steve",Elmer,Steve,,,182,,,,,1/28 07:00,1/28 10:35,1/28 10:40,1/28 14:50,1/28 15:20,,,,,1/28 21:16,,,,,
2019,Bike,999,"Endorf, Mike",Endorf,Mike,,,32,MN USA,,,,1/28 07:00,,,,,,,,,,,,,,TRUE
2018,Bike,52,"Endorf, Mike",Endorf,Mike,,,33,MN USA,,,,1/29 07:02,1/29 12:47,1/29 13:45,1/29 20:13,1/30 07:42,,,,,1/30 15:49,1/30 17:25,1/30 22:50,39:48:00,,
2020,Bike,46,"Endres, Sam",Endres,Sam,,,38,MN USA,,,,1/27 07:00,1/27 13:20,1/27 14:04,1/27 21:44,1/28 00:09,,,,,1/28 09:15,1/28 10:10,1/28 14:50,31:50:00,,
2014,Bike,999,Matthew Engen,Engen,Matthew,,,109,ND USA,,,,1/27 07:00,1/27 12:22,,,,,,,,,,,,Dropped at Gateway,
2016,Bike,999,"Engen, Matthew",Engen,Matthew,,,36,ND USA,,,,1/25 07:00,1/25 11:42,1/25 12:04,1/25 19:50,,,,,,,,,,,
2011,Run,999,IGOR EPSHTEYN,Epshteyn,Igor,,,94,,,,,1/31 07:01,1/31 19:04,1/31 20:42,,,,,,,,,,,Dropped,
2014,Bike,999,Scott Erlandson,Erlandson,Scott,,,141,MN USA,,,,1/27 07:00,1/27 11:52,,,,,,,,,,,,Dropped at Gateway,
2010,Bike,,,Errington,Paul,M,31,71,,,,,2/1/2010 7:03,2/1/2010 12:40,2/1/2010 13:14,2/1/2010 19:30,,,,,2/2/2010 11:50,2/2/2010 12:00,2/2/2010 14:35,,31:32:00,,
2017,Bike,53,"Estes, Lynn",Estes,Lynn,,,32,MN USA,,,,1/30 07:00,1/30 11:19,1/30 12:08,1/30 18:03,1/30 20:28,,,,,1/31 05:17,1/31 06:52,1/31 11:05,28:05:00,,
2018,Bike,40,"Estes, Lynn",Estes,Lynn,,,34,MN USA,,,,1/29 07:02,1/29 11:55,1/29 13:03,1/29 19:21,1/29 23:37,,,,,1/30 09:36,1/30 11:44,1/30 17:00,33:58:00,,
2015,Bike,55,"Estes, Lynn",Estes,Lynn,,,35,MN USA,,,,1/26 07:00,1/26 11:58,1/26 13:01,1/26 20:16,1/27 03:03,,,,,1/27 12:53,1/27 13:19,1/27 17:57,34:57:00,,
2020,Bike,69,"Estes, Lynn",Estes,Lynn,,,39,MN USA,,,,1/27 07:00,1/27 13:15,1/27 14:25,1/27 23:16,1/28 08:18,,,,,1/28 17:06,1/28 17:38,1/28 22:12,39:12:00,,
2016,Bike,49,"Estes, Lynn",Estes,Lynn,,,37,MN USA,,,,1/25 07:00,1/25 12:54,1/25 13:22,1/25 22:40,1/26 01:22,,,,,1/26 15:02,1/26 17:06,1/26 23:18,40:18:00,,
2019,Bike,999,"Estes, Lynn",Estes,Lynn,,,33,MN USA,,,,1/28 07:00,1/28 13:30,1/28 15:00,1/28 23:28,,,,,,,,,,,
2017,Bike,70,"Evans, Keith",Evans,Keith,,,33,ONT CAN,,,,1/30 07:00,1/30 10:57,1/30 12:17,1/30 17:26,1/31 02:17,,,,,1/31 11:31,1/31 13:01,1/31 18:02,35:02:00,,
2016,Bike,999,"Evans, Keith",Evans,Keith,,,38,ONT CAN,,,,1/25 07:00,1/25 12:12,1/25 12:34,1/25 23:32,,,,,,,,,,,
2012,Run,999,JEAN YVES EVEN,Even,Jean,,,94,GRENOBLE FRANCE,,,,1/30 07:04,1/30 19:01,,,,,,,,,,,,DNF at Gateway,
2013,Run,999,JEAN YVES EVEN,Even,Jean,,,118,GRENOBLE FRANCE,,,,1/28 07:04,1/28 18:05,1/28 19:14,,,,,,,,,,,Dropped at MelGeorge,
2011,Bike,999,JEREMY EVERSVIK,Eversvik,Jeremy,,,32,,,,,1/31 07:00,1/31 13:50,1/31 15:39,,,,,,,,,,,Drop @ Sheep Ranch Road,
2006,Bike,3,,Evingson,John,M ,48,7,,,,USA,2/6/2006 7:00,,,2/6/2006 15:45,2/6/2006 17:19,,,,,,,2/7/2006 3:33,20:33:00,,
2005,Bike,,,Evingson,Matt,,,2,,Minneapolis,MN,USA,2/28/2005 7:12,,,,,2/28/2005 22:00,2/28/2005 23:30,,,,,3/1/2005 12:06,,,
2006,Bike,,,Evingson,Matt,M ,36,1,,,,USA,2/6/2006 7:00,,,2/7/2006 17:51,,,,,,,,,,SCR,
2022,Run,30,"Falcone, Joe",Falcone,Joe,,,36,FL USA,,,,1/31 07:04,1/31 18:35,1/31 19:35,2/1 10:55,2/1 12:56,,,,,2/2 08:21,2/2 09:20,2/2 17:37,58:33:00,,
2010,Foot,,,Farinazzo,Marco,M,41,73,,,,,2/1/2010 7:03,2/1/2010 16:54,,,,,,,2/3/2010 7:15,2/3/2010 9:30,2/3/2010 16:51,,57:48:00,,
2012,Run,999,MARCO FARINAZZO,Farinazzo,Marco,,,107,,,,,1/30 07:04,,,,,,,,,,,,,,
2017,Run,0,"Farmer, Lester",Farmer,Lester,,,34,SC USA,,,,1/30 07:04,1/30 17:00,1/30 18:08,1/31 05:57,1/31 08:49,,,,,2/1 01:48,,,,Drop at Surly,
2018,Run,999,"Farmer, Lester",Farmer,Lester,,,36,SC USA,,,,1/29 07:06,1/29 17:43,1/29 19:10,1/30 07:14,,,,,,,,,,Dropped at Mel George,
2019,Run,999,"Farmer, Lester",Farmer,Lester,,,34,SC USA,,,,1/28 07:04,1/28 18:10,1/28 20:10,,,,,,,,,,,,
2022,Run,999,"Farmer, Lester",Farmer,Lester,,,37,SC USA,,,,1/31 07:04,1/31 18:55,,,,,,,,,,,,Gateway,
2023,Foot,999,"Farmer, Lester",Farmer,Lester,,,35,USA/SC,,,,1/30/2023 7:04,1/30/2023 19:30,1/30/2023 20:53,,,,,,,,,,,Drop at Sheep Ranch Rd,
2016,Run,11,"Farow, Charlie",Farow,Charlie,,,39,MN USA,,,,1/25 07:04,1/25 15:45,1/25 16:42,1/26 05:04,1/26 08:31,,,,,1/26 22:45,1/27 04:25,1/27 11:55,52:51:00,,
2012,Bike,27,CHARLES FARROW,Farrow,Charlie,,,10,MN USA,,,,1/30 07:00,1/30 10:39,1/30 10:43,1/30 16:12,1/30 16:51,,,,,1/31 09:36,1/31 09:45,1/31 12:54,29:54:00,,
2010,Bike,,,Farrow,Charlie,M,50,2,,,,,2/1/2010 7:03,2/1/2010 11:15,2/1/2010 11:22,2/1/2010 15:45,2/1/2010 16:21,,,,2/1/2010 11:25,2/2/2010 0:07,2/2/2010 3:05,,20:02:00,,
2009,Bike,,,Farrow,Charlie,M,49,5,,,,,2/2/2009 7:32,2/2/2009 11:37,2/2/2009 11:40,2/2/2009 16:55,2/2/2009 17:55,,,,,,,2/3/2009 5:30,21:58:00,2nd bike/overall,
2006,Bike,4,,Farrow,Charlie,M ,46,20,,,,USA,2/6/2006 7:00,,,2/6/2006 17:36,2/6/2006 18:23,,,,,,,2/7/2006 8:10,25:10:00,,
2008,Bike,,,Farrow,Charlie,M,48,6,,,,,2/4/2008 7:49,2/4/2008 12:01,2/4/2008 12:01,2/4/2008 18:38,2/4/2008 20:19,,,,,,,2/5/2008 12:28,28:39:00,,
2007,Bike,6,,Farrow,Charlie,M ,47,5,,,,USA,2/5/2007 7:39,,,2/5/2007 20:30,2/5/2006 22:35,,,,,,,2/6/2007 20:30,36:51:00,,
2011,Bike,7,CHARLIE FARROW,Farrow,Charlie,,,11,,,,,1/31 07:00,1/31 10:55,1/31 10:56,1/31 15:36,1/31 16:05,,,,,1/31 22:50,1/31 23:52,2/1 02:42,19:42:00,,
2017,Bike,63,"Farrow, Charlie",Farrow,Charlie,,,35,MN USA,,,,1/30 07:00,1/30 10:37,1/30 10:45,1/30 16:02,1/30 16:02,,,,,1/31 11:12,1/31 11:15,1/31 14:56,31:56:00,,TRUE
2020,Bike,33,"Farrow, Charlie",Farrow,Charlie,,,40,MN USA,,,,1/27 07:00,1/27 10:45,1/27 11:03,1/27 16:49,1/27 17:45,,,,,1/28 03:21,1/28 04:19,1/28 08:46,25:46:00,,
2014,Bike,6,Charlie Farrow,Farrow,Charlie,,,27,MN USA,,,,1/27 07:00,1/27 11:43,1/27 12:11,1/27 18:08,1/27 19:56,,,,,1/28 06:10,1/28 06:45,1/28 11:16,28:16:00,,
2015,Bike,49,"Farrow, Charlie",Farrow,Charlie,,,36,MN USA,,,,1/26 07:00,1/26 10:31,1/26 10:34,1/26 15:19,1/26 15:49,,,,,1/27 09:16,1/27 09:26,1/27 12:29,29:29:00,,
2022,Run KS,2,"Farrow, Charlie",Farrow,Charlie,,,38,MN USA,,,,1/31 07:04,1/31 15:50,1/31 16:27,2/1 07:57,2/1 08:50,,,,,2/2 07:00,2/2 07:16,2/2 16:32,57:28:00,,
2023,Foot KS,999,"Farrow, Charlie",Farrow,Charlie,,,36,USA/MN,,,,1/30/2023 7:04,1/30/2023 17:29,1/30/2023 18:33,1/31/2023 11:50,,,,,,,,,,Drop at MelGeorge's,
2015,Bike,999,"Fellows, Nathaniel",Fellows,Nathaniel,,,37,IN USA,,,,1/26 07:00,1/26 14:25,1/26 15:45,,,,,,,,,,,Dropped b/f MelGeorge,
2016,Run,20,"Ferreira, Joilson Da Silva",Ferreira,Joilson Da Silva,,,40,BRAZIL,,,,1/25 07:04,1/25 17:56,1/25 18:45,1/26 10:38,1/26 12:38,,,,,1/27 06:51,1/27 06:58,1/27 15:41,56:37:00,,
2022,Bike,999,"Fickle, Paul",Fickle,Paul,,,39,MN USA,,,,1/31 07:00,1/31 11:50,1/31 12:25,1/31 20:02,,,,,,,,,,at MelGeorges,
2023,Bike,33,"Fickle, Paul",Fickle,Paul,,,37,USA/MN,,,,1/30/2023 7:00,1/30/2023 13:03,1/30/2023 14:06,1/30/2023 20:39,1/31/2023 0:24,,,,,1/31/2023 10:58,1/31/2023 11:03,1/31/2023 17:26,,,
2010,Bike,,,Finch,Chris,M,42,30,,,,,2/1/2010 7:03,2/1/2010 13:45,2/1/2010 14:40,2/2/2010 5:39,,,,,2/2/2010 17:11,2/2/2010 19:43,2/3/2010 0:32,,41:29:00,,
2007,Bike,8,,Finch,Chris,M ,39,12,,,,USA,2/5/2007 8:19,,,2/6/2007 1:15,2/7/2006 8:48,,,,,,,2/7/2007 4:45,44:26:00,,
2006,Bike,14,,FINCH,CHRIS,M ,38,27,,,,USA,2/6/2006 7:00,,,2/6/2006 22:35,2/7/2006 10:16,,,,,,,2/8/2006 9:15,50:15:00,,
2017,Bike,75,"Finch, Chris",Finch,Chris,,,36,MN USA,,,,1/30 07:00,1/30 12:14,1/30 12:14,1/31 11:17,1/31 11:17,,,,,2/1 04:41,2/1 04:42,2/1 11:07,52:07:00,,TRUE
2015,Bike,62,"FINCH, Chris",Finch,Chris,,,38,MN USA,,,,1/26 07:00,1/26 12:29,1/26 13:17,1/26 20:38,1/27 00:23,,,,,1/27 12:55,1/27 13:15,1/27 19:04,36:04:00,,
2012,Bike,41,CHRIS FINCH,Finch,Chris,,,13,MN USA,,,,1/30 07:00,1/30 13:04,1/30 13:40,1/30 21:33,1/30 23:48,,,,,1/31 15:54,1/31 16:02,1/31 21:07,38:07:00,,
2011,Bike,38,CHRIS FINCH,Finch,Chris,,,14,,,,,1/31 07:00,1/31 13:50,1/31 14:41,2/1 00:31,2/1 04:33,,,,,2/1 16:52,2/1 18:02,2/1 23:15,40:15:00,,
2013,Bike,999,CHRIS FINCH,Finch,Chris,,,21,MN USA,,,,1/28 07:00,1/28 12:37,1/28 13:11,1/28 20:07,1/28 22:05,,,,,,,,,Dropped in Orr,
2009,Bike,,,Finch,Chris,M,41,30,,,,,2/2/2009 8:11,2/2/2009 16:00,2/2/2009 17:40,2/3/2009 11:45,2/3/2009 14:01,,,,,,,,,DNF,
2020,Bike,56,"Fine, Aga",Fine,Aga,,,41,MN USA,,,,1/27 07:00,1/27 11:42,1/27 12:44,1/27 19:56,1/27 23:00,,,,,1/28 11:10,1/28 12:01,1/28 16:41,33:41:00,,
2022,Bike,46,"Fine, Aga",Fine,Aga,,,40,MN USA,,,,1/31 07:00,1/31 11:20,1/31 11:45,1/31 19:50,2/1 06:06,,,,,2/1 16:09,2/1 17:24,2/1 22:01,39:01:00,,
2019,Run,999,"Fine, Aga",Fine,Aga,,,35,MN USA,,,,1/28 07:04,,,,,,,,,,,,,,
2018,Bike,35,"Finn, John",Finn,John,,,37,MN USA,,,,1/29 07:02,1/29 11:35,1/29 12:14,1/29 18:04,1/29 19:50,,,,,1/30 07:40,1/30 08:36,1/30 12:36,29:34:00,,
2020,Bike,48,"Finn, John",Finn,John,,,42,MN USA,,,,1/27 07:00,1/27 11:16,1/27 11:35,1/27 17:26,1/27 17:54,,,,,1/28 05:05,1/28 08:22,1/28 15:16,32:16:00,,
2011,Run,19,JOHN FINN,Finn,John,,,103,,,,,1/31 07:01,1/31 17:30,1/31 18:22,2/1 09:17,2/1 10:19,,,,,2/2 08:10,2/2 09:10,2/2 16:20,57:19:00,,
2010,Foot,,,Finney,Luke,M,21,17,,,,,2/1/2010 7:03,2/1/2010 16:43,2/1/2010 18:03,2/2/2010 6:34,,,,,2/3/2010 2:58,2/3/2010 3:27,2/3/2010 10:36,,51:33:00,,
2009,Foot,,,Finney,Luke,M,20,42,,,,,2/2/2009 7:14,2/2/2009 16:30,2/2/2009 18:15,2/3/2009 6:15,2/3/2009 10:15,,,,,,,2/4/2009 12:41,53:27:00,"19  overall, 4th Foot, Youngest",
2008,Ski,,,Finzel,Philipp,M,32,37,,,,,2/4/2008 7:04,2/4/2008 11:52,2/4/2008 12:03,2/4/2008 19:19,2/5/2008 7:24,2/5/2008 19:39,,,,,,,,Record,
2018,Run,7,"Firkus, Jeff",Firkus,Jeff,,,38,MN USA,,,,1/29 07:06,1/29 17:14,1/29 18:17,1/30 04:18,1/30 06:38,,,,,1/30 18:59,1/30 19:40,1/31 03:24,44:18:00,,
2017,Run,10,"Firkus, Jeff",Firkus,Jeff,,,37,MN USA,,,,1/30 07:04,1/30 18:18,1/30 19:00,1/31 06:02,1/31 08:13,,,,,1/31 20:48,1/31 21:40,2/1 05:05,46:01:00,,
2022,Ski,6,"Firkus, Jeff",Firkus,Jeff,,,41,MN USA,,,,1/31 07:02,1/31 18:25,1/31 19:10,2/1 07:04,2/1 09:51,,,,,2/1 23:15,2/2 00:52,2/2 09:22,50:20:00,,
2019,Run,999,"Firkus, Jeff",Firkus,Jeff,,,36,MN USA,,,,1/28 07:04,1/28 17:30,1/28 18:50,1/29 06:15,1/29 08:50,,,,,,,,,,
2022,Ski,6,"Firkus, Tyler",Firkus,Tyler,,,42,MN USA,,,,1/31 07:02,1/31 16:15,1/31 17:15,2/1 04:46,2/1 08:15,,,,,2/1 23:15,2/2 00:52,2/2 09:22,50:20:00,,
2018,Ski,999,"Firkus, Tyler",Firkus,Tyler,,,39,MN USA,,,,1/29 07:04,1/29 16:35,1/29 18:07,1/30 05:44,,,,,,,,,,Dropped at Mel George,
2011,Bike,28,TOM FISHER,Fisher,Tom,,,60,,,,,1/31 07:00,1/31 14:34,1/31 16:34,1/31 23:15,2/1 07:20,,,,,2/1 14:04,2/1 14:49,2/1 17:33,34:33:00,Finished with #6,
2020,Run,34,"Fletcher, Jesse",Fletcher,Jesse,,,43,WI USA,,,,1/27 07:04,1/27 17:30,1/27 18:20,1/28 06:35,1/28 08:48,,,,,1/29 00:40,1/29 02:36,1/29 13:02,53:58:00,,
2020,Run,29,"Fletcher, Terrence",Fletcher,Terrence,,,44,WI USA,,,,1/27 07:04,1/27 17:20,1/27 18:20,1/28 06:06,1/28 08:04,,,,,1/28 21:33,1/28 23:08,1/29 09:43,50:39:00,,
2022,Run,999,"Fliss, Jeremy",Fliss,Jeremy,,,43,MN USA,,,,1/31 07:04,1/31 16:45,1/31 17:35,2/1 05:30,,,,,,,,,,at MelGeorges,
2023,Foot,999,"Fliss, Jeremy",Fliss,Jeremy,,,39,USA/MN,,,,1/30/2023 7:04,1/30/2023 17:00,1/30/2023 17:55,1/30/2023 20:44,,,,,,,,,,Drop at MelGeorge's,
2011,Ski,999,ANNE FLUECKIGER,Flueckiger,Anne,,,142,,,,,1/31 07:01,1/31 17:24,1/31 18:43,2/1 12:30,,,,,,,,,,Dropped @ 12:30 2/1,
2022,Bike,34,"Fluegel, Matt",Fluegel,Matt,,,44,MN USA,,,,1/31 07:00,1/31 11:13,1/31 11:31,1/31 17:45,1/31 18:29,,,,,2/1 09:26,2/1 09:45,2/1 13:51,30:51:00,,
2011,Bike,39,JENNIFER FLYNN,Flynn,Jennifer,,,31,,,,,1/31 07:00,1/31 13:50,1/31 15:18,2/1 01:50,2/1 08:19,,,,,2/1 22:54,2/2 01:25,2/2 09:06,50:06:00,,
2018,Run,36,"Flynn, Jennifer",Flynn,Jennifer,,,40,MN USA,,,,1/29 07:06,1/29 18:03,1/29 20:00,1/30 11:04,1/30 12:49,,,,,1/31 08:54,1/31 09:59,1/31 18:27,59:21:00,,
2012,Run,999,JENNIFER FLYNN,Flynn,Jennifer,,,95,MN USA,,,,1/30 07:04,1/30 21:13,,,,,,,,,,,,DNF at Gateway - missed cutoff,
2014,Bike,999,Troy Foede,Foede,Troy,,,167,WA USA,,,,1/27 07:00,1/27 12:59,,,,,,,,,,,,Dropped at Gateway,
2015,Bike,50,"Forget, Guillaume",Forget,Guillaume,,,39,Ontario Canada,,,,1/26 07:00,1/26 11:30,1/26 11:46,1/26 18:56,1/26 21:57,,,,,1/27 07:15,1/27 07:51,1/27 12:32,29:32:00,,
2005,Bike,,,Foster,Michael,,,8,,Fort Benning,GA,USA,2/28/2005 7:02,,,,,3/1/2005 12:10,3/1/2005 15:00,,,,,3/2/2005 12:38,,,
2018,Bike,15,"Frederiksen, Adam",Frederiksen,Adam,,,41,ONT CAN,,,,1/29 07:02,1/29 11:00,1/29 11:00,1/29 15:55,1/29 15:58,,,,,1/29 23:40,1/30 00:43,1/30 04:08,21:06:00,,TRUE
2016,Bike,7,"Frederiksen, Adam",Frederiksen,Adam,,,41,ONT CAN,,,,1/25 07:00,1/25 11:01,1/25 11:01,1/25 16:46,1/25 17:33,,,,,1/26 00:26,1/26 00:49,1/26 04:51,21:51:00,,
2022,Run,16,"Freedman, Angela",Freedman,Angela,,,45,WI USA,,,,1/31 07:04,1/31 17:30,1/31 18:20,2/1 07:05,2/1 09:55,,,,,2/2 00:27,2/2 01:19,2/2 08:49,49:45:00,,
2023,Foot,12,"Freedman, Angela",Freedman,Angela,,,40,USA/WI,,,,1/30/2023 7:04,1/30/2023 17:36,1/30/2023 18:25,1/31/2023 5:50,1/31/2023 7:31,,,,,1/31/2023 19:58,1/31/2023 21:00,2/1/2023 5:26,,,
2010,Foot,,,Freeman,Rick,M,51,75,,,,,2/1/2010 7:03,2/1/2010 17:03,2/1/2010 17:40,2/2/2010 7:42,2/2/2010 9:30,,,,2/3/2010 4:56,2/3/2010 8:10,2/3/2010 12:55,,53:52:00,,
2022,Bike,999,"Freymiller, Beth",Freymiller,Beth,,,46,MN USA,,,,1/31 07:00,1/31 11:23,1/31 11:50,1/31 17:46,1/31 18:28,,,,,2/1 02:30,,,,Mechanical,
