year,category,position,name,lastname,firstname,gender,age,bib,state_province_country,city,country,start_time,gateway_enter_time,gateway_exit_time,gateway_time_duration,melgeorges_enter_time,melgeorges_exit_time,melgeorges_time_duration,myrtle_lake_enter_time,myrtle_lake_exit_time,myrtle_lake_time_duration,crescent_enter_time,crescent_exit_time,crescent__time_duration,ski_pulk_enter_time,ski_pulk_exit_time,ski_pulk_time_duration,finish_time,overall_time_duration,overall_time_duration_computed,comments,unsupported
2013,Ski,999,GEORGE DESORT,Desort,George,,,115,IL USA,,,2013-01-28T07:02:00.0000000,2013-01-28T16:33:00.0000000,2013-01-28T17:05:00.0000000,0:32:00,2013-01-29T08:58:00.0000000,,,,,,,,,,,,,,,Dropped at MelGeorge,
2023,Bike,999,"Despres, John",Despres,John,,,29,USA/MI,,,2023-01-30T07:00:00.0000000,,,,,,,,,,,,,,,,,,,,
2012,Run,26,MATT DESROSIERS,Desrosiers,Matt,,,109,MD USA,,,2012-01-30T07:04:00.0000000,2012-01-30T17:59:00.0000000,2012-01-30T19:04:00.0000000,1:05:00,2012-01-31T09:43:00.0000000,2012-01-31T12:44:00.0000000,3:01:00,,,,,,,2012-02-01T07:58:00.0000000,2012-02-01T08:08:00.0000000,0:10:00,2012-02-01T18:25:00.0000000,59:21:00,59:21:00,,
2010,Foot,,,DiGiorgio,Andrea,M,42,69,,,,2010-02-01T07:03:00.0000000,2010-02-01T18:50:00.0000000,,,,,,,,,,2010-02-03T06:57:00.0000000,,2010-02-03T07:42:00.0000000,2010-02-03T15:10:00.0000000,7:28:00,,56:07:00,,,
2010,Bike,,,Dittmer,Dan,M,32,70,,,,2010-02-01T07:03:00.0000000,2010-02-01T10:52:00.0000000,2010-02-01T10:58:00.0000000,0:06:00,2010-02-01T15:07:00.0000000,2010-02-01T15:47:00.0000000,0:40:00,,,,,2010-02-01T21:43:00.0000000,,2010-02-01T21:46:00.0000000,2010-02-02T00:10:00.0000000,2:24:00,,17:07:00,,,
2012,Bike,3,DAN DITTMER,Dittmer,Dan,,,1,MN USA,,,2012-01-30T07:00:00.0000000,2012-01-30T10:23:00.0000000,2012-01-30T10:23:00.0000000,0:00:00,2012-01-30T14:45:00.0000000,2012-01-30T14:55:00.0000000,0:10:00,,,,,,,2012-01-30T20:12:00.0000000,2012-01-30T20:12:00.0000000,0:00:00,2012-01-30T23:14:00.0000000,16:14:00,16:14:00,,
2013,Bike,7,DAN DITTMER,Dittmer,Dan,,,3,MN USA,,,2013-01-28T07:00:00.0000000,2013-01-28T10:35:00.0000000,2013-01-28T10:35:00.0000000,0:00:00,2013-01-28T15:03:00.0000000,2013-01-28T15:09:00.0000000,0:06:00,,,,,,,2013-01-28T20:49:00.0000000,2013-01-28T20:49:00.0000000,0:00:00,2013-01-28T23:54:00.0000000,16:54:00,16:54:00,,
2011,Bike,3,DAN DITTMER,Dittmer,Dan,,,3,,,,2011-01-31T07:00:00.0000000,2011-01-31T11:01:00.0000000,2011-01-31T11:05:00.0000000,0:04:00,2011-01-31T15:18:00.0000000,2011-01-31T15:49:00.0000000,0:31:00,,,,,,,2011-01-31T21:57:00.0000000,2011-01-31T21:57:00.0000000,0:00:00,2011-02-01T00:33:00.0000000,17:33:00,17:33:00,,
2016,Bike,3,"Dittmer, Dan",Dittmer,Dan,,,28,MN USA,,,2016-01-25T07:00:00.0000000,2016-01-25T10:43:00.0000000,2016-01-25T10:48:00.0000000,0:05:00,2016-01-25T15:32:00.0000000,2016-01-25T15:49:00.0000000,0:17:00,,,,,,,2016-01-25T22:14:00.0000000,2016-01-25T22:16:00.0000000,0:02:00,2016-01-26T01:52:00.0000000,18:52:00,18:52:00,,
2014,Bike,999,DAN DITTMER,Dittmer,Dan,,,36,MN USA,,,2014-01-27T07:00:00.0000000,2014-01-27T11:41:00.0000000,2014-01-27T11:47:00.0000000,0:06:00,2014-01-27T17:02:00.0000000,2014-01-27T18:09:00.0000000,1:07:00,,,,,,,2014-01-28T01:02:00.0000000,2014-01-28T01:15:00.0000000,0:13:00,,,,Dropped at Hwy 115 crossing,
2012,Bike,999,ALAN DIXON,Dixon,Alan,,,6,MANITOBA CANADA,,,2012-01-30T07:00:00.0000000,2012-01-30T13:06:00.0000000,2012-01-30T14:00:00.0000000,0:54:00,,,,,,,,,,,,,,,,DNF at MelGeorge,
2013,Bike,999,ALAN DIXON,Dixon,Alan,,,11,MANITOBA CANADA,,,2013-01-28T07:00:00.0000000,2013-01-28T14:41:00.0000000,2013-01-28T15:37:00.0000000,0:56:00,2013-01-29T05:20:00.0000000,,,,,,,,,,,,,,,Dropped at mile 66,
2014,Bike,999,ALAN DIXON,Dixon,Alan,,,4,Manitoba Canada,,,2014-01-27T07:00:00.0000000,2014-01-27T14:18:00.0000000,,,,,,,,,,,,,,,,,,Dropped at Gateway,
2022,Bike,17,"Dobbs, John",Dobbs,John,,,31,MN USA,,,2022-01-31T07:00:00.0000000,2022-01-31T11:47:00.0000000,2022-01-31T11:55:00.0000000,0:08:00,2022-01-31T17:46:00.0000000,2022-01-31T19:39:00.0000000,1:53:00,,,,,,,2022-02-01T01:52:00.0000000,2022-02-01T03:10:00.0000000,1:18:00,2022-02-01T06:19:00.0000000,23:19:00,23:19:00,,
2012,Bike,33,JOHN DOBBS,Dobbs,John,,,33,MN USA,,,2012-01-30T07:00:00.0000000,2012-01-30T12:27:00.0000000,2012-01-30T12:54:00.0000000,0:27:00,2012-01-30T20:30:00.0000000,2012-01-31T00:16:00.0000000,3:46:00,,,,,,,2012-01-31T10:27:00.0000000,2012-01-31T10:41:00.0000000,0:14:00,2012-01-31T14:48:00.0000000,31:48:00,31:48:00,,
2014,Bike,19,JOHN DOBBS,Dobbs,John,,,84,MN USA,,,2014-01-27T07:00:00.0000000,2014-01-27T13:02:00.0000000,2014-01-27T13:48:00.0000000,0:46:00,2014-01-27T21:40:00.0000000,2014-01-28T06:20:00.0000000,8:40:00,,,,,,,2014-01-28T14:06:00.0000000,2014-01-28T14:26:00.0000000,0:20:00,2014-01-28T18:34:00.0000000,35:34:00,35:34:00,,
2016,Bike,47,"Dobbs, John",Dobbs,John,,,29,MN USA,,,2016-01-25T07:00:00.0000000,2016-01-25T12:38:00.0000000,2016-01-25T13:04:00.0000000,0:26:00,2016-01-25T22:17:00.0000000,2016-01-26T04:25:00.0000000,6:08:00,,,,,,,2016-01-26T15:07:00.0000000,2016-01-26T15:45:00.0000000,0:38:00,2016-01-26T22:21:00.0000000,39:21:00,39:21:00,,
2013,Bike,999,JOHN DOBBS,Dobbs,John,,,52,MN USA,,,2013-01-28T07:00:00.0000000,2013-01-28T12:39:00.0000000,2013-01-28T13:03:00.0000000,0:24:00,2013-01-28T19:16:00.0000000,2013-01-28T20:15:00.0000000,0:59:00,,,,,,,,,,,,,Dropped at MelGeorge,
2020,Run,42,"Donatelli, Scott",Donatelli,Scott,,,32,BC CAN,,,2020-01-27T07:04:00.0000000,2020-01-27T18:10:00.0000000,2020-01-27T18:10:00.0000000,0:00:00,2020-01-28T07:16:00.0000000,2020-01-28T07:40:00.0000000,0:24:00,,,,,,,2020-01-29T00:35:00.0000000,2020-01-29T05:45:00.0000000,5:10:00,2020-01-29T16:45:00.0000000,57:41:00,57:41:00,,
2017,Bike,3,"Doom, Ben",Doom,Ben,,,27,MN USA,,,2017-01-30T07:00:00.0000000,2017-01-30T09:41:00.0000000,2017-01-30T09:41:00.0000000,0:00:00,2017-01-30T12:51:00.0000000,2017-01-30T12:54:00.0000000,0:03:00,,,,,,,2017-01-30T17:26:00.0000000,2017-01-30T17:30:00.0000000,0:04:00,2017-01-30T20:15:00.0000000,13:15:15,13:15:00,,
2019,Bike,3,"Doom, Ben",Doom,Ben,,,24,MN USA,,,2019-01-28T07:00:00.0000000,2019-01-28T09:52:00.0000000,2019-01-28T09:52:00.0000000,0:00:00,2019-01-28T13:25:00.0000000,2019-01-28T13:34:00.0000000,0:09:00,,,,,,,2019-01-28T18:08:00.0000000,2019-01-28T18:11:00.0000000,0:03:00,2019-01-28T20:42:00.0000000,13:42:00,13:42:00,,
2018,Bike,2,"Doom, Ben",Doom,Ben,,,28,MN USA,,,2018-01-29T07:02:00.0000000,2018-01-29T09:58:00.0000000,2018-01-29T09:58:00.0000000,0:00:00,2018-01-29T13:38:00.0000000,2018-01-29T13:51:00.0000000,0:13:00,,,,,,,2018-01-29T18:23:00.0000000,2018-01-29T18:27:00.0000000,0:04:00,2018-01-29T21:14:00.0000000,14:12:00,14:12:00,,
2020,Bike,3,"Doom, Ben",Doom,Ben,,,33,MN USA,,,2020-01-27T07:00:00.0000000,2020-01-27T10:12:00.0000000,2020-01-27T10:12:00.0000000,0:00:00,2020-01-27T14:07:00.0000000,2020-01-27T14:14:00.0000000,0:07:00,,,,,,,2020-01-27T19:03:00.0000000,2020-01-27T19:03:00.0000000,0:00:00,2020-01-27T21:49:00.0000000,14:49:00,14:49:00,,
2022,Bike,3,"Doom, Ben",Doom,Ben,,,32,MN USA,,,2022-01-31T07:00:00.0000000,2022-01-31T09:59:00.0000000,2022-01-31T09:59:00.0000000,0:00:00,2022-01-31T14:26:00.0000000,2022-01-31T14:32:00.0000000,0:06:00,,,,,,,2022-01-31T19:10:00.0000000,2022-01-31T19:14:00.0000000,0:04:00,2022-01-31T22:15:00.0000000,15:15:00,15:15:00,,
2013,Bike,4,BEN DOOM,Doom,Ben,,,4,MN USA,,,2013-01-28T07:00:00.0000000,2013-01-28T10:35:00.0000000,2013-01-28T10:35:00.0000000,0:00:00,2013-01-28T14:46:00.0000000,2013-01-28T14:52:00.0000000,0:06:00,,,,,,,2013-01-28T20:01:00.0000000,2013-01-28T20:05:00.0000000,0:04:00,2013-01-28T22:46:00.0000000,15:46:00,15:46:00,,
2012,Bike,5,BEN DOOM,Doom,Ben,,,3,MN USA,,,2012-01-30T07:00:00.0000000,2012-01-30T10:23:00.0000000,2012-01-30T10:23:00.0000000,0:00:00,2012-01-30T14:53:00.0000000,2012-01-30T15:01:00.0000000,0:08:00,,,,,,,2012-01-30T20:32:00.0000000,2012-01-30T20:37:00.0000000,0:05:00,2012-01-30T23:49:00.0000000,16:49:00,16:49:00,,
2011,Bike,5,BEN DOOM,Doom,Ben,,,7,,,,2011-01-31T07:00:00.0000000,2011-01-31T11:03:00.0000000,2011-01-31T11:06:00.0000000,0:03:00,2011-01-31T15:38:00.0000000,2011-01-31T16:21:00.0000000,0:43:00,,,,,,,2011-01-31T22:35:00.0000000,2011-01-31T23:01:00.0000000,0:26:00,2011-02-01T01:57:00.0000000,18:57:00,18:57:00,Arrowhead Bike Rookie Of Year,
2016,Bike,4,"Doom, Ben",Doom,Ben,,,30,MN USA,,,2016-01-25T07:00:00.0000000,2016-01-25T10:35:00.0000000,2016-01-25T10:35:00.0000000,0:00:00,2016-01-25T15:37:00.0000000,2016-01-25T15:46:00.0000000,0:09:00,,,,,,,2016-01-25T22:19:00.0000000,2016-01-25T22:24:00.0000000,0:05:00,2016-01-26T02:12:00.0000000,19:12:00,19:12:00,,
2014,Bike,999,BEN DOOM,Doom,Ben,,,12,MN USA,,,2014-01-27T07:00:00.0000000,2014-01-27T11:46:00.0000000,,,,,,,,,,,,,,,,,,Dropped at Gateway,
2023,Bike,1,"Doom, Ben",Doom,Ben,,,31,USA/MN,,,2023-01-30T07:00:00.0000000,2023-01-30T10:35:00.0000000,2023-01-30T10:36:00.0000000,0:01:00,2023-01-30T14:28:00.0000000,2023-01-30T14:35:00.0000000,0:07:00,,,,,,,2023-01-30T17:32:00.0000000,2023-01-30T17:33:00.0000000,0:01:00,2023-01-30T22:20:00.0000000,,15:20:00,1st male biker,
2015,Bike,75,"Downham, John",Downham,John,,,27,MN USA,,,2015-01-26T07:00:00.0000000,2015-01-26T14:56:00.0000000,2015-01-26T15:37:00.0000000,0:41:00,2015-01-27T05:24:00.0000000,2015-01-27T08:35:00.0000000,3:11:00,,,,,,,2015-01-28T06:49:00.0000000,2015-01-28T07:09:00.0000000,0:20:00,2015-01-28T12:51:00.0000000,53:51:00,53:51:00,,
2017,Ski,0,"Downham, LynnAnne",Downham,Lynnanne,,,182,,,,2017-01-30T07:02:00.0000000,2017-01-30T15:21:00.0000000,2017-01-30T17:02:00.0000000,1:41:00,2017-01-31T10:01:00.0000000,,,,,,,,,,,,,,,Drop at MelGeorges,
2017,Run,0,"Drake, Wendy",Drake,Wendy,,,28,CO USA,,,2017-01-30T07:04:00.0000000,2017-01-30T18:27:00.0000000,2017-01-30T18:27:00.0000000,0:00:00,,,,,,,,,,,,,,,,Drop at Sheep Ranch Rd,TRUE
2016,Run,999,"Drake, Wendy",Drake,Wendy,,,31,CO USA,,,2016-01-25T07:04:00.0000000,2016-01-25T19:54:00.0000000,2016-01-25T20:49:00.0000000,0:55:00,,,,,,,,,,,,,,,,Dropped at SRR,
2015,Bike,24,"Dube, Cameron",Dube,Cameron,,,28,ONT Canada,,,2015-01-26T07:00:00.0000000,2015-01-26T11:01:00.0000000,2015-01-26T11:19:00.0000000,0:18:00,2015-01-26T15:48:00.0000000,2015-01-26T17:02:00.0000000,1:14:00,,,,,,,2015-01-26T23:10:00.0000000,2015-01-26T23:34:00.0000000,0:24:00,2015-01-27T02:12:00.0000000,19:12:00,19:12:00,,
2014,Bike,999,Cameron Dube,Dube,Cameron,,,23,Ontario Canada,,,2014-01-27T07:00:00.0000000,2014-01-27T12:43:00.0000000,2014-01-27T15:25:00.0000000,2:42:00,2014-01-27T22:53:00.0000000,,,,,,,,,,,,,,,Dropped at MelGeorge,
2020,Run,23,"Dumitrescu, Bogie",Dumitrescu,Bogie,,,35,CO USA,,,2020-01-27T07:04:00.0000000,2020-01-27T17:40:00.0000000,2020-01-27T18:20:00.0000000,0:40:00,2020-01-28T07:03:00.0000000,2020-01-28T07:34:00.0000000,0:31:00,,,,,,,2020-01-28T21:57:00.0000000,2020-01-28T22:08:00.0000000,0:11:00,2020-01-29T08:24:00.0000000,49:20:00,49:20:00,,
2014,Run,999,Bogie Dumitrescu,Dumitrescu,Bogie,,,17,CO USA,,,2014-01-27T07:04:00.0000000,,,,,,,,,,,,,,,,,,,Drop before Gateway,
2016,Run,999,"Dumitrescu, Bogie",Dumitrescu,Bogie,,,32,CO USA,,,2016-01-25T07:04:00.0000000,2016-01-25T19:30:00.0000000,2016-01-25T19:51:00.0000000,0:21:00,,,,,,,,,,,,,,,,Dropped at SRR,
2019,Run,999,"Dumitrescu, Bogie",Dumitrescu,Bogie,,,26,CO USA,,,2019-01-28T07:04:00.0000000,2019-01-28T19:55:00.0000000,,,,,,,,,,,,,,,,,,,
2017,Run,8,"Durand, Kyle",Durand,Kyle,,,30,WA USA,,,2017-01-30T07:04:00.0000000,2017-01-30T15:35:00.0000000,2017-01-30T16:50:00.0000000,1:15:00,2017-01-31T03:07:00.0000000,2017-01-31T06:15:00.0000000,3:08:00,,,,,,,2017-01-31T19:32:00.0000000,2017-01-31T21:00:00.0000000,1:28:00,2017-02-01T04:43:00.0000000,45:39:00,45:39:00,,
2013,Bike,14,KEVIN EASLEY,Easley,Kevin,,,58,AK USA,,,2013-01-28T07:00:00.0000000,2013-01-28T11:04:00.0000000,2013-01-28T11:08:00.0000000,0:04:00,2013-01-28T16:18:00.0000000,2013-01-28T16:34:00.0000000,0:16:00,,,,,,,2013-01-29T00:05:00.0000000,2013-01-29T00:15:00.0000000,0:10:00,2013-01-29T04:48:00.0000000,21:48:00,21:48:00,,
2015,Bike,21,"Eastlund, Alan",Eastlund,Alan,,,30,MN USA,,,2015-01-26T07:00:00.0000000,2015-01-26T10:31:00.0000000,2015-01-26T10:31:00.0000000,0:00:00,2015-01-26T15:21:00.0000000,2015-01-26T16:07:00.0000000,0:46:00,,,,,,,2015-01-26T22:22:00.0000000,2015-01-26T22:49:00.0000000,0:27:00,2015-01-27T02:02:00.0000000,19:02:00,19:02:00,,
2016,Bike,11,"Eastlund, Alan",Eastlund,Alan,,,33,MN USA,,,2016-01-25T07:00:00.0000000,2016-01-25T11:20:00.0000000,2016-01-25T11:43:00.0000000,0:23:00,2016-01-25T17:39:00.0000000,2016-01-25T18:28:00.0000000,0:49:00,,,,,,,2016-01-26T02:14:00.0000000,2016-01-26T02:45:00.0000000,0:31:00,2016-01-26T06:58:00.0000000,23:58:00,23:58:00,,
2014,Bike,11,Alan Eastlund,Eastlund,Alan,,,5,MN USA,,,2014-01-27T07:00:00.0000000,2014-01-27T12:11:00.0000000,2014-01-27T13:40:00.0000000,1:29:00,2014-01-27T19:54:00.0000000,2014-01-27T22:25:00.0000000,2:31:00,,,,,,,2014-01-28T07:56:00.0000000,2014-01-28T09:30:00.0000000,1:34:00,2014-01-28T13:59:00.0000000,30:59:00,30:59:00,,
2019,Bike,999,"Eastlund, Alan",Eastlund,Alan,,,29,MN USA,,,2019-01-28T07:00:00.0000000,2019-01-28T10:30:00.0000000,2019-01-28T10:40:00.0000000,0:10:00,2019-01-28T15:00:00.0000000,2019-01-28T15:40:00.0000000,0:40:00,,,,,,,,,,,,,,
2013,Run,999,JEREMY EBEL,Ebel,Jeremy,,,120,CO USA,,,2013-01-28T07:04:00.0000000,2013-01-28T17:20:00.0000000,2013-01-28T18:08:00.0000000,0:48:00,2013-01-29T12:00:00.0000000,,,,,,,,,,,,,,,Dropped at MelGeorge,
2017,Bike,45,"Eckert, Jeff",Eckert,Jeff,,,31,IN USA,,,2017-01-30T07:00:00.0000000,2017-01-30T10:35:00.0000000,2017-01-30T10:59:00.0000000,0:24:00,2017-01-30T15:42:00.0000000,2017-01-30T16:14:00.0000000,0:32:00,,,,,,,2017-01-30T23:59:00.0000000,2017-01-31T00:35:00.0000000,0:36:00,2017-01-31T06:08:00.0000000,23:08:00,23:08:00,,
2015,Bike,43,"Eckert, Jeff",Eckert,Jeff,,,31,IN USA,,,2015-01-26T07:00:00.0000000,2015-01-26T11:53:00.0000000,2015-01-26T12:12:00.0000000,0:19:00,2015-01-26T19:11:00.0000000,2015-01-26T21:50:00.0000000,2:39:00,,,,,,,2015-01-27T07:12:00.0000000,2015-01-27T07:51:00.0000000,0:39:00,2015-01-27T11:55:00.0000000,28:55:00,28:55:00,,
2016,Bike,34,"Eckert, Jeff",Eckert,Jeff,,,34,IN USA,,,2016-01-25T07:00:00.0000000,2016-01-25T12:01:00.0000000,2016-01-25T12:51:00.0000000,0:50:00,2016-01-25T22:00:00.0000000,2016-01-25T22:57:00.0000000,0:57:00,,,,,,,2016-01-26T11:29:00.0000000,2016-01-26T11:55:00.0000000,0:26:00,2016-01-26T17:03:00.0000000,34:03:00,34:03:00,,
2023,Bike,999,"Edmonds, Will",Edmonds,Will,,,32,USA/MN,,,2023-01-30T07:00:00.0000000,2023-01-30T12:40:00.0000000,2023-01-30T13:18:00.0000000,0:38:00,2023-01-30T19:27:00.0000000,,,,,,,,,,,,,,,,
2023,Bike,999,"Egge, Fred",Egge,Fred,,,33,USA/MI,,,2023-01-30T07:00:00.0000000,2023-01-30T13:12:00.0000000,2023-01-30T13:58:00.0000000,0:46:00,2023-01-30T20:45:00.0000000,2023-01-31T01:32:00.0000000,4:47:00,,,,,,,2023-01-31T12:15:00.0000000,,,,,,Drop at Embark,
2022,Bike,29,"Ehlers, Aaron",Ehlers,Aaron,,,34,MN USA,,,2022-01-31T07:00:00.0000000,2022-01-31T11:30:00.0000000,2022-01-31T11:46:00.0000000,0:16:00,2022-01-31T17:56:00.0000000,2022-01-31T18:30:00.0000000,0:34:00,,,,,,,2022-02-01T07:20:00.0000000,2022-02-01T07:43:00.0000000,0:23:00,2022-02-01T11:06:00.0000000,28:06:00,28:06:00,,
2018,Bike,39,"Ehlman, Thomas",Ehlman,Thomas,,,31,MN USA,,,2018-01-29T07:02:00.0000000,2018-01-29T11:13:00.0000000,2018-01-29T12:38:00.0000000,1:25:00,2018-01-29T17:51:00.0000000,2018-01-30T06:24:00.0000000,12:33:00,,,,,,,2018-01-30T11:51:00.0000000,2018-01-30T13:23:00.0000000,1:32:00,2018-01-30T16:53:00.0000000,33:51:00,33:51:00,,
2016,Bike,50,"Ehlman, Thomas",Ehlman,Thomas,,,35,MN USA,,,2016-01-25T07:00:00.0000000,2016-01-25T12:20:00.0000000,2016-01-25T13:13:00.0000000,0:53:00,2016-01-25T22:38:00.0000000,2016-01-26T01:05:00.0000000,2:27:00,,,,,,,2016-01-26T15:14:00.0000000,2016-01-26T17:42:00.0000000,2:28:00,2016-01-26T23:31:00.0000000,40:31:00,40:31:00,,
2018,Run,13,"Eichman, Alex Elizabeth",Eichman,Alex Elizabeth,,,32,MN USA,,,2018-01-29T07:06:00.0000000,2018-01-29T16:54:00.0000000,2018-01-29T17:35:00.0000000,0:41:00,2018-01-30T05:06:00.0000000,2018-01-30T06:32:00.0000000,1:26:00,,,,,,,2018-01-30T19:48:00.0000000,2018-01-30T20:22:00.0000000,0:34:00,2018-01-31T06:42:00.0000000,47:36:00,47:36:00,,
2013,Bike,17,TIM EK,Ek,Tim,,,91,MN USA,,,2013-01-28T07:00:00.0000000,2013-01-28T11:38:00.0000000,2013-01-28T11:43:00.0000000,0:05:00,2013-01-28T16:46:00.0000000,2013-01-28T17:04:00.0000000,0:18:00,,,,,,,2013-01-29T00:54:00.0000000,2013-01-29T01:16:00.0000000,0:22:00,2013-01-29T07:21:00.0000000,24:21:00,24:21:00,,
2020,Run,22,"Elizabeth, Alex",Elizabeth,Alex,,,36,MN USA,,,2020-01-27T07:04:00.0000000,2020-01-27T17:35:00.0000000,2020-01-27T17:35:00.0000000,0:00:00,2020-01-28T06:24:00.0000000,2020-01-28T06:24:00.0000000,0:00:00,,,,,,,2020-01-28T22:26:00.0000000,2020-01-28T22:31:00.0000000,0:05:00,2020-01-29T08:18:00.0000000,49:14:00,49:14:00,,TRUE
2019,Run,999,"Elizabeth, Alex",Elizabeth,Alex,,,31,MN USA,,,2019-01-28T07:04:00.0000000,2019-01-28T17:30:00.0000000,2019-01-28T18:20:00.0000000,0:50:00,2019-01-29T06:05:00.0000000,,,,,,,,,,,,,,,,
2019,Bike,999,"Elmer, Steve",Elmer,Steve,,,182,,,,2019-01-28T07:00:00.0000000,2019-01-28T10:35:00.0000000,2019-01-28T10:40:00.0000000,0:05:00,2019-01-28T14:50:00.0000000,2019-01-28T15:20:00.0000000,0:30:00,,,,,,,2019-01-28T21:16:00.0000000,,,,,,,
2019,Bike,999,"Endorf, Mike",Endorf,Mike,,,32,MN USA,,,2019-01-28T07:00:00.0000000,,,,,,,,,,,,,,,,,,,,TRUE
2018,Bike,52,"Endorf, Mike",Endorf,Mike,,,33,MN USA,,,2018-01-29T07:02:00.0000000,2018-01-29T12:47:00.0000000,2018-01-29T13:45:00.0000000,0:58:00,2018-01-29T20:13:00.0000000,2018-01-30T07:42:00.0000000,11:29:00,,,,,,,2018-01-30T15:49:00.0000000,2018-01-30T17:25:00.0000000,1:36:00,2018-01-30T22:50:00.0000000,39:48:00,39:48:00,,
2020,Bike,46,"Endres, Sam",Endres,Sam,,,38,MN USA,,,2020-01-27T07:00:00.0000000,2020-01-27T13:20:00.0000000,2020-01-27T14:04:00.0000000,0:44:00,2020-01-27T21:44:00.0000000,2020-01-28T00:09:00.0000000,2:25:00,,,,,,,2020-01-28T09:15:00.0000000,2020-01-28T10:10:00.0000000,0:55:00,2020-01-28T14:50:00.0000000,31:50:00,31:50:00,,
2014,Bike,999,Matthew Engen,Engen,Matthew,,,109,ND USA,,,2014-01-27T07:00:00.0000000,2014-01-27T12:22:00.0000000,,,,,,,,,,,,,,,,,,Dropped at Gateway,
2016,Bike,999,"Engen, Matthew",Engen,Matthew,,,36,ND USA,,,2016-01-25T07:00:00.0000000,2016-01-25T11:42:00.0000000,2016-01-25T12:04:00.0000000,0:22:00,2016-01-25T19:50:00.0000000,,,,,,,,,,,,,,,,
2011,Run,999,IGOR EPSHTEYN,Epshteyn,Igor,,,94,,,,2011-01-31T07:01:00.0000000,2011-01-31T19:04:00.0000000,2011-01-31T20:42:00.0000000,1:38:00,,,,,,,,,,,,,,,,Dropped,
2014,Bike,999,Scott Erlandson,Erlandson,Scott,,,141,MN USA,,,2014-01-27T07:00:00.0000000,2014-01-27T11:52:00.0000000,,,,,,,,,,,,,,,,,,Dropped at Gateway,
2010,Bike,,,Errington,Paul,M,31,71,,,,2010-02-01T07:03:00.0000000,2010-02-01T12:40:00.0000000,2010-02-01T13:14:00.0000000,0:34:00,2010-02-01T19:30:00.0000000,,,,,,,2010-02-02T11:50:00.0000000,,2010-02-02T12:00:00.0000000,2010-02-02T14:35:00.0000000,2:35:00,,31:32:00,,,
2017,Bike,53,"Estes, Lynn",Estes,Lynn,,,32,MN USA,,,2017-01-30T07:00:00.0000000,2017-01-30T11:19:00.0000000,2017-01-30T12:08:00.0000000,0:49:00,2017-01-30T18:03:00.0000000,2017-01-30T20:28:00.0000000,2:25:00,,,,,,,2017-01-31T05:17:00.0000000,2017-01-31T06:52:00.0000000,1:35:00,2017-01-31T11:05:00.0000000,28:05:00,28:05:00,,
2018,Bike,40,"Estes, Lynn",Estes,Lynn,,,34,MN USA,,,2018-01-29T07:02:00.0000000,2018-01-29T11:55:00.0000000,2018-01-29T13:03:00.0000000,1:08:00,2018-01-29T19:21:00.0000000,2018-01-29T23:37:00.0000000,4:16:00,,,,,,,2018-01-30T09:36:00.0000000,2018-01-30T11:44:00.0000000,2:08:00,2018-01-30T17:00:00.0000000,33:58:00,33:58:00,,
2015,Bike,55,"Estes, Lynn",Estes,Lynn,,,35,MN USA,,,2015-01-26T07:00:00.0000000,2015-01-26T11:58:00.0000000,2015-01-26T13:01:00.0000000,1:03:00,2015-01-26T20:16:00.0000000,2015-01-27T03:03:00.0000000,6:47:00,,,,,,,2015-01-27T12:53:00.0000000,2015-01-27T13:19:00.0000000,0:26:00,2015-01-27T17:57:00.0000000,34:57:00,34:57:00,,
2020,Bike,69,"Estes, Lynn",Estes,Lynn,,,39,MN USA,,,2020-01-27T07:00:00.0000000,2020-01-27T13:15:00.0000000,2020-01-27T14:25:00.0000000,1:10:00,2020-01-27T23:16:00.0000000,2020-01-28T08:18:00.0000000,9:02:00,,,,,,,2020-01-28T17:06:00.0000000,2020-01-28T17:38:00.0000000,0:32:00,2020-01-28T22:12:00.0000000,39:12:00,39:12:00,,
2016,Bike,49,"Estes, Lynn",Estes,Lynn,,,37,MN USA,,,2016-01-25T07:00:00.0000000,2016-01-25T12:54:00.0000000,2016-01-25T13:22:00.0000000,0:28:00,2016-01-25T22:40:00.0000000,2016-01-26T01:22:00.0000000,2:42:00,,,,,,,2016-01-26T15:02:00.0000000,2016-01-26T17:06:00.0000000,2:04:00,2016-01-26T23:18:00.0000000,40:18:00,40:18:00,,
2019,Bike,999,"Estes, Lynn",Estes,Lynn,,,33,MN USA,,,2019-01-28T07:00:00.0000000,2019-01-28T13:30:00.0000000,2019-01-28T15:00:00.0000000,1:30:00,2019-01-28T23:28:00.0000000,,,,,,,,,,,,,,,,
2017,Bike,70,"Evans, Keith",Evans,Keith,,,33,ONT CAN,,,2017-01-30T07:00:00.0000000,2017-01-30T10:57:00.0000000,2017-01-30T12:17:00.0000000,1:20:00,2017-01-30T17:26:00.0000000,2017-01-31T02:17:00.0000000,8:51:00,,,,,,,2017-01-31T11:31:00.0000000,2017-01-31T13:01:00.0000000,1:30:00,2017-01-31T18:02:00.0000000,35:02:00,35:02:00,,
2016,Bike,999,"Evans, Keith",Evans,Keith,,,38,ONT CAN,,,2016-01-25T07:00:00.0000000,2016-01-25T12:12:00.0000000,2016-01-25T12:34:00.0000000,0:22:00,2016-01-25T23:32:00.0000000,,,,,,,,,,,,,,,,
